"city","region"
"Abbottabad","Khyber Pakhtunkhwa"
"Aliabad","Gilgit-Baltistan"
"Astore","Gilgit-Baltistan"
"Bagh","Azad Kashmir"
"Bahrain","Khyber Pakhtunkhwa"
"Balakot","Khyber Pakhtunkhwa"
"Chilas","Gilgit-Baltistan"
"Chitral","Khyber Pakhtunkhwa"
"Diamer","Gilgit-Baltistan"
"Dir","Khyber Pakhtunkhwa"
"Gahkuch","Gilgit-Baltistan"
"Ghizer","Gilgit-Baltistan"
"Gilgit","Gilgit-Baltistan"
"Gulkin","Gilgit-Baltistan"
"Gulmit","Gilgit-Baltistan"
"Hattian Bala","Azad Kashmir"
"Hunza","Gilgit-Baltistan"
"Kaghan","Khyber Pakhtunkhwa"
"Kalam","Khyber Pakhtunkhwa"
"Karimabad","Gilgit-Baltistan"
"Khaplu","Gilgit-Baltistan"
"Leepa Valley","Azad Kashmir"
"Madyan","Khyber Pakhtunkhwa"
"Mansehra","Khyber Pakhtunkhwa"
"Mingora","Khyber Pakhtunkhwa"
"Murree","Punjab"
"Muzaffarabad","Azad Kashmir"
"Nagar","Gilgit-Baltistan"
"Naran","Khyber Pakhtunkhwa"
"Neelum Valley","Azad Kashmir"
"Passu","Gilgit-Baltistan"
"Phander","Gilgit-Baltistan"
"Rawalakot","Azad Kashmir"
"Shigar","Gilgit-Baltistan"
"Shimshal","Gilgit-Baltistan"
"Skardu","Gilgit-Baltistan"
"Sost","Gilgit-Baltistan"
"Swat","Khyber Pakhtunkhwa"
